date,feature_1,1_open_tomorrow,1_open_2tomorrow
2008-12-05,1,7970.69,8362.37
2008-12-08,1,8362.37,8376.0
2008-12-09,1,8376.0,8642.26
2008-12-10,1,8642.26,8599.12
2008-12-11,1,8599.12,8349.85
2008-12-12,1,8349.85,8608.4
2008-12-15,1,8608.4,8658.22
2008-12-16,1,8658.22,8565.16
2008-12-17,1,8565.16,8640.22
2008-12-18,1,8640.22,8602.5
2008-12-19,1,8602.5,8630.25
2008-12-22,1,8630.25,8531.51
2008-12-24,1,8531.51,8642.14
2008-12-25,1,8642.14,8726.31
2008-12-26,1,8726.31,8716.28
2008-12-29,1,8716.28,8991.21
2008-12-30,1,8991.21,9130.01
2009-01-05,1,9130.01,9133.8
2009-01-06,1,9133.8,9143.21
2009-01-07,1,9143.21,8932.71
2009-01-08,1,8932.71,8732.63
2009-01-09,1,8732.63,8425.75
2009-01-13,1,8425.75,8309.38
2009-01-14,1,8309.38,8125.2
2009-01-15,1,8125.2,8318.26
2009-01-16,1,8318.26,8187.14
2009-01-19,1,8187.14,7949.96
2009-01-20,1,7949.96,7988.3
2009-01-21,1,7988.3,7965.41
2009-01-22,1,7965.41,7714.26
2009-01-23,1,7714.26,7782.9
2009-01-26,1,7782.9,8052.25
2009-01-27,1,8052.25,8201.16
2009-01-28,1,8201.16,8142.88
2009-01-29,1,8142.88,7908.51
2009-01-30,1,7908.51,7862.95
2009-02-02,1,7862.95,7897.24
2009-02-03,1,7897.24,7985.53
2009-02-04,1,7985.53,8054.27
2009-02-05,1,8054.27,8178.07
2009-02-06,1,8178.07,8066.94
2009-02-09,1,8066.94,7842.53
2009-02-10,1,7842.53,7789.35
2009-02-12,1,7789.35,7732.68
2009-02-13,1,7732.68,7690.13
2009-02-16,1,7690.13,7539.96
2009-02-17,1,7539.96,7604.22
2009-02-18,1,7604.22,7544.07
2009-02-19,1,7544.07,7314.3
2009-02-20,1,7314.3,7266.68
2009-02-23,1,7266.68,7368.44
2009-02-24,1,7368.44,7470.6
2009-02-25,1,7470.6,7463.42
2009-02-26,1,7463.42,7454.28
2009-02-27,1,7454.28,7177.79
2009-03-02,1,7177.79,7146.71
2009-03-03,1,7146.71,7336.02
2009-03-04,1,7336.02,7328.29
2009-03-05,1,7328.29,7191.13
2009-03-06,1,7191.13,7059.77
2009-03-09,1,7059.77,7165.39
2009-03-10,1,7165.39,7320.45
2009-03-11,1,7320.45,7301.12
2009-03-12,1,7301.12,7630.2
2009-03-13,1,7630.2,7767.34
2009-03-16,1,7767.34,8006.86
2009-03-17,1,8006.86,8017.93
2009-03-18,1,8017.93,7943.14
2009-03-19,1,7943.14,8334.68
2009-03-23,1,8334.68,8499.69
2009-03-24,1,8499.69,8430.22
2009-03-25,1,8430.22,8711.72
2009-03-26,1,8711.72,8621.85
2009-03-27,1,8621.85,8199.43
2009-03-30,1,8199.43,8173.36
2009-03-31,1,8173.36,8453.73
2009-04-01,1,8453.73,8814.1
2009-04-02,1,8814.1,8856.84
2009-04-03,1,8856.84,8838.66
2009-04-06,1,8838.66,8746.73
2009-04-07,1,8746.73,8665.16
2009-04-08,1,8665.16,9041.23
2009-04-09,1,9041.23,8930.35
2009-04-10,1,8930.35,8955.9
2009-04-13,1,8955.9,8777.68
2009-04-14,1,8777.68,8848.43
2009-04-15,1,8848.43,8854.33
2009-04-16,1,8854.33,8899.59
2009-04-17,1,8899.59,8802.09
2009-04-20,1,8802.09,8777.53
2009-04-21,1,8777.53,8776.94
2009-04-22,1,8776.94,8832.1
2009-04-23,1,8832.1,8783.34
2009-04-24,1,8783.34,8678.28
2009-04-27,1,8678.28,8615.45
2009-04-28,1,8615.45,8848.84
2009-04-30,1,8848.84,9102.35
2009-05-01,1,9102.35,9351.4
2009-05-07,1,9351.4,9460.72
2009-05-08,1,9460.72,9358.25
2009-05-11,1,9358.25,9305.79
2009-05-12,1,9305.79,9212.3
2009-05-13,1,9212.3,9150.21
2009-05-14,1,9150.21,9167.05
2009-05-15,1,9167.05,9172.56
2009-05-18,1,9172.56,9372.72
2009-05-19,1,9372.72,9280.35
2009-05-20,1,9280.35,9156.14
2009-05-21,1,9156.14,9245.95
2009-05-22,1,9245.95,9364.22
2009-05-25,1,9364.22,9426.62
2009-05-26,1,9426.62,9353.33
2009-05-27,1,9353.33,9478.21
2009-05-28,1,9478.21,9517.49
2009-05-29,1,9517.49,9774.55
2009-06-01,1,9774.55,9723.82
2009-06-02,1,9723.82,9690.93
2009-06-03,1,9690.93,9752.51
2009-06-04,1,9752.51,9829.28
2009-06-05,1,9829.28,9824.17
2009-06-08,1,9824.17,9833.64
2009-06-09,1,9833.64,9992.98
2009-06-10,1,9992.98,10088.2
2009-06-11,1,10088.2,10126.5
2009-06-12,1,10126.5,9914.4
2009-06-15,1,9914.4,9705.73
2009-06-16,1,9705.73,9778.35
2009-06-17,1,9778.35,9757.85
2009-06-18,1,9757.85,9788.07
2009-06-19,1,9788.07,9695.76
2009-06-22,1,9695.76,9596.78
2009-06-23,1,9596.78,9628.18
2009-06-24,1,9628.18,9852.92
2009-06-25,1,9852.92,9866.28
2009-06-26,1,9866.28,9896.56
2009-06-29,1,9896.56,9889.34
2009-06-30,1,9889.34,9993.77
2009-07-01,1,9993.77,9751.69
2009-07-02,1,9751.69,9738.49
2009-07-03,1,9738.49,9713.62
2009-07-06,1,9713.62,9548.81
2009-07-07,1,9548.81,9342.33
2009-07-08,1,9342.33,9338.76
2009-07-09,1,9338.76,9242.13
2009-07-10,1,9242.13,9173.14
2009-07-13,1,9173.14,9307.45
2009-07-14,1,9307.45,9393.98
2009-07-15,1,9393.98,9413.86
2009-07-16,1,9413.86,9512.52
2009-07-17,1,9512.52,9642.79
2009-07-21,1,9642.79,9712.1
2009-07-22,1,9712.1,9909.4
2009-07-23,1,9909.4,10020.9
2009-07-24,1,10020.9,10116.9
2009-07-27,1,10116.9,10035.9
2009-07-28,1,10035.9,10155.7
2009-07-29,1,10155.7,10275.1
2009-07-30,1,10275.1,10355.2
2009-07-31,1,10355.2,10438.4
2009-08-03,1,10438.4,10405.0
2009-08-04,1,10405.0,10266.0
2009-08-05,1,10266.0,10365.7
2009-08-06,1,10365.7,10530.6
2009-08-07,1,10530.6,10514.7
2009-08-10,1,10514.7,10486.4
2009-08-11,1,10486.4,10508.1
2009-08-12,1,10508.1,10551.3
2009-08-13,1,10551.3,10521.0
2009-08-14,1,10521.0,10208.1
2009-08-17,1,10208.1,10270.0
2009-08-18,1,10270.0,10254.5
2009-08-19,1,10254.5,10375.2
2009-08-20,1,10375.2,10389.6
2009-08-21,1,10389.6,10515.6
2009-08-24,1,10515.6,10554.4
2009-08-25,1,10554.4,10570.8
2009-08-26,1,10570.8,10546.9
2009-08-27,1,10546.9,10608.2
2009-08-28,1,10608.2,10453.4
2009-08-31,1,10453.4,10378.1
2009-09-01,1,10378.1,10240.0
2009-09-02,1,10240.0,10256.5
2009-09-03,1,10256.5,10288.6
2009-09-04,1,10288.6,10353.5
2009-09-07,1,10353.5,10343.8
2009-09-08,1,10343.8,10385.3
2009-09-09,1,10385.3,10519.3
2009-09-10,1,10519.3,10388.3
2009-09-11,1,10388.3,10255.7
2009-09-14,1,10255.7,10288.7
2009-09-15,1,10288.7,10373.2
2009-09-16,1,10373.2,10379.2
2009-09-17,1,10379.2,10405.5
2009-09-18,1,10405.5,10395.5
2009-09-24,1,10395.5,10136.2
2009-09-25,1,10136.2,10089.1
2009-09-28,1,10089.1,10105.2
2009-09-29,1,10105.2,10072.6
2009-09-30,1,10072.6,9848.07
2009-10-01,1,9848.07,9733.07
2009-10-02,1,9733.07,9744.42
2009-10-05,1,9744.42,9750.24
2009-10-06,1,9750.24,9806.03
2009-10-07,1,9806.03,9893.63
2009-10-08,1,9893.63,10066.8
2009-10-09,1,10066.8,10096.0
2009-10-13,1,10096.0,10194.9
2009-10-14,1,10194.9,10276.4
2009-10-15,1,10276.4,10179.5
2009-10-16,1,10179.5,10329.3
2009-10-19,1,10329.3,10292.4
2009-10-20,1,10292.4,10251.1
2009-10-21,1,10251.1,10335.3
2009-10-22,1,10335.3,10271.8
2009-10-23,1,10271.8,10283.5
2009-10-26,1,10283.5,10182.1
2009-10-27,1,10182.1,9941.57
2009-10-28,1,9941.57,10006.8
2009-10-29,1,10006.8,9903.77
2009-10-30,1,9903.77,9785.28
2009-11-02,1,9785.28,9803.5
2009-11-04,1,9803.5,9812.73
2009-11-05,1,9812.73,9777.64
2009-11-06,1,9777.64,9904.68
2009-11-09,1,9904.68,9890.18
2009-11-10,1,9890.18,9921.45
2009-11-11,1,9921.45,9793.19
2009-11-12,1,9793.19,9784.14
2009-11-13,1,9784.14,9834.58
2009-11-16,1,9834.58,9723.23
2009-11-17,1,9723.23,9691.86
2009-11-18,1,9691.86,9460.21
2009-11-19,1,9460.21,9511.0
2009-11-20,1,9511.0,9381.9
2009-11-24,1,9381.9,9354.8
2009-11-25,1,9354.8,9257.2
2009-11-26,1,9257.2,9189.17
2009-11-27,1,9189.17,9281.82
2009-11-30,1,9281.82,9551.79
2009-12-01,1,9551.79,9707.02
2009-12-02,1,9707.02,10019.2
2009-12-03,1,10019.2,10131.9
2009-12-04,1,10131.9,10079.8
2009-12-07,1,10079.8,10048.9
2009-12-08,1,10048.9,9964.05
2009-12-09,1,9964.05,9958.0
2009-12-10,1,9958.0,10126.6
